boatid,name,zulu,lat,lon,cog,sog,windspd
108116,Mezentius,2020-05-13 20-12-02,69.9782455583973,-57.4132402287502,116.719,2.5050383999999997,10.0053792
148846,My boat,2020-05-13 20-12-02,37.6926924265386,6.69539219093908,119.744,1.9162008,2.3322168
148866,My boat,2020-05-13 20-12-02,56.4356331360211,-9.66062314816149,276.196,3.8139336,7.2013536
148233,Surprise,2020-05-13 20-12-02,31.7368281794677,-67.1067954853401,111.106,9.485748000000001,12.533356799999998
108116,Mezentius,2020-05-13 20-25-49,69.975117017265,-57.3950869126648,116.876,2.5104816000000003,10.083528000000001
148846,My boat,2020-05-13 20-25-49,37.6875438751457,6.70689156643887,118.781,1.9331135999999998,2.3586552
148866,My boat,2020-05-13 20-25-49,56.4377965691449,-9.69799983020827,275.292,3.8129616,7.1949384
148233,Surprise,2020-05-13 20-25-49,31.7184383318993,-67.0499580665923,109.992,9.4626144,12.335652
108116,Mezentius,2020-05-13 20-31-03,69.975117017265,-57.3950869126648,116.876,2.5104816000000003,10.083528000000001
148846,My boat,2020-05-13 20-31-03,37.6875438751457,6.70689156643887,118.781,1.9331135999999998,2.3586552
148866,My boat,2020-05-13 20-31-03,56.4377965691449,-9.69799983020827,275.292,3.8129616,7.1949384
148233,Surprise,2020-05-13 20-31-03,31.7184383318993,-67.0499580665923,109.992,9.4626144,12.335652
108116,Mezentius,2020-05-13 20-38-11,69.9719409092644,-57.3767853959228,117.033,2.5143696,10.163231999999999
148846,My boat,2020-05-13 20-38-11,37.6849203775074,6.71292661578073,118.297,1.944,2.3720687999999996
148866,My boat,2020-05-13 20-38-11,56.4387878557915,-9.71735796940151,274.816,3.8116008,7.191828
148233,Surprise,2020-05-13 20-38-11,31.7093833084099,-67.0206986531268,109.419,9.449784,12.2263992
108116,Mezentius,2020-05-13 20-45-23,69.9687935694104,-57.3587749666367,117.184,2.5176743999999998,10.242547199999999
148846,My boat,2020-05-13 20-45-23,37.6823865964263,6.71887357675928,117.833,1.954692,2.385288
148866,My boat,2020-05-13 20-45-23,56.4396677533976,-9.73624893333969,274.356,3.8104343999999997,7.188911999999999
148233,Surprise,2020-05-13 20-45-23,31.7006927639281,-66.9917209675315,108.8,9.4365648,12.105288
108116,Mezentius,2020-05-13 20-52-02,69.9656187986744,-57.3407279432331,117.335,2.5207848,10.3230288
148846,My boat,2020-05-13 20-52-02,37.6823865964263,6.71887357675928,117.833,1.954692,2.385288
148866,My boat,2020-05-13 20-52-02,56.4396677533976,-9.73624893333969,274.356,3.8104343999999997,7.188911999999999
148233,Surprise,2020-05-13 20-52-02,31.7006927639281,-66.9917209675315,108.8,9.4365648,12.105288
108116,Mezentius,2020-05-13 22-04-38,69.9426742659422,-57.2130954790197,119.95,2.5178687999999996,10.1783952
148846,My boat,2020-05-13 22-04-38,37.6652352176819,6.7623985554472,114.541,2.0112623999999997,2.4488568
148866,My boat,2020-05-13 22-04-38,56.4435355435874,-9.86942633579384,271.248,3.7890504,7.121260799999999
148233,Surprise,2020-05-13 22-04-38,31.6409706701273,-66.7536962739399,104.929,9.3766896,11.4567696
108116,Mezentius,2020-05-13 23-26-37,69.9131952449161,-57.0836518819734,128.898,2.2680648,8.1681048
148846,My boat,2020-05-13 23-26-37,37.634314116753,6.8296757360197,123.515,2.9066688000000003,4.16988
148866,My boat,2020-05-13 23-26-37,56.4078158975509,-10.0309898590646,229.147,4.2392807999999995,7.916162399999999
148233,Surprise,2020-05-13 23-26-37,31.5818192998715,-66.5209510333837,109.239,9.461447999999999,12.581568
108116,Mezentius,2020-05-13 23-35-46,69.9092616568832,-57.069456538175,130.362,2.2309343999999998,7.9216056
148846,My boat,2020-05-13 23-35-46,37.62994844982,6.83799983301021,124.063,2.99376,4.3495056
148866,My boat,2020-05-13 23-35-46,56.400272852106,-10.0467547704153,226.193,4.3219008,8.147304
148233,Surprise,2020-05-13 23-35-46,31.5772273725047,-66.5022241183248,98.2398,8.64043848,12.08024928
108116,Mezentius,2020-05-14 00-12-31,69.8928415235174,-57.0177181983837,137.527,2.0794968000000003,6.9886800000000004
148846,My boat,2020-05-14 00-12-31,37.6146162316124,6.8660624013359,125.423,3.2423976,4.8738024
148866,My boat,2020-05-14 00-12-31,56.3721999074322,-10.0945964322972,218.549,4.5633456,8.8862184
148233,Surprise,2020-05-14 00-12-31,31.5643551953614,-66.423510835229,102.649,8.2586952,13.3292304
108116,Mezentius,2020-05-14 00-43-16,69.8799809598777,-56.985691807001,142.966,1.9805471999999997,6.4688544
