name,lat0,lon0,lat1,lon1,clat,clon
Gulf of Oman,22.51497268676752,56.34793226300019,25.815389633178768,61.18280410766613,24.165181159973145,58.76536818533316
Kara Sea,66.19499969482445,55.081111907959155,79.79624938964884,104.26786450005937,72.99562454223664,79.67448820400926
Barents Sea,66.8164749145509,16.287750602000074,80.78620728684314,67.77059753830821,73.80134110069702,42.02917407015414
East Siberian Sea,68.76374816894548,139.28256225585938,75.73874664306658,178.8287385881182,72.25124740600603,159.0556504219888
Chukchi Sea,65.78676495789182,-179.99999938810447,71.22861971761552,180.00000000000057,68.50769233775367,3.059480491174327e-07
Laptev Sea,70.68035888671886,105.23858642578114,76.42228419541863,141.6261878207988,73.55132154106875,123.43238712328997
Bo Hai,37.116222381591804,117.545417785645,41.0487213134766,122.28538513183601,39.0824718475342,119.9154014587405
Korea Bay,38.1324996948242,122.067024230957,39.99241503,125.61042022705101,39.0624573624121,123.838722229004
Molucca Sea,-1.91041238066515,123.31916809082009,3.9897078880002823,128.4592199120002,1.0396477536675661,125.88919400141015
Bransfield Strait,-64.43425126798007,-62.707625344308326,-62.00682855464714,-56.459039216921155,-63.22053991131361,-59.58333228061474
Weddell Sea,-83.477589610353,-83.88365252035265,-70.96447112982258,-20.13480867317992,-77.22103037008779,-52.00923059676629
Gulf of Saint Lawrence,45.6020851135254,-71.2095031738281,52.2212219238281,-55.4250259399414,48.911653518676744,-63.31726455688475
Bay of Fundy,44.119998931884794,-67.2162246704102,45.975944519043004,-63.3774185180664,45.047971725463896,-65.2968215942383
Sea of Japan,34.3445816040039,127.367919921875,47.337081909179695,142.080810546875,40.8408317565918,134.724365234375
Arafura Sea,-12.534913085286576,130.7626332292483,-2.910444498062077,142.18890645939155,-7.722678791674326,136.47576984431993
Torres Strait,-10.95211124420166,141.72747802734398,-9.077917098998967,142.79947312500008,-10.015014171600313,142.26347557617203
Bass Strait,-41.26041793823242,143.54421997070312,-37.842918395996094,148.32791137695324,-39.55166816711426,145.93606567382818
Tatar Strait,46.6011498832977,138.982894897461,53.4114114488331,142.255828857422,50.0062806660654,140.6193618774415
Gulf of Panama,7.47308349609375,-80.4958038330078,9.04077816009521,-77.9632797241211,8.256930828094479,-79.22954177856445
Gulf of Lion,42.31994628906256,2.9511945247650146,43.56124877929693,5.3745555877686115,42.940597534179744,4.162875056266813
Balearic Sea,38.73833465576189,-0.3413055539131165,41.30289077758789,3.834583282470703,40.02061271667489,1.7466388642787933
Golfo San Jorge,-47.2029457092285,-67.6346130371094,-44.984584808349595,-65.600471496582,-46.09376525878905,-66.6175422668457
Golfo San Matias,-42.441276550293026,-65.16877746582026,-40.70877838134771,-63.42669296264643,-41.57502746582037,-64.29773521423334
Caspian Sea,36.5723037719727,46.6846122741699,47.015609741210895,54.0437774658203,41.7939567565918,50.3641948699951
Lake Erie,41.3805541992188,-83.4756088256836,43.258388519287095,-78.85113525390629,42.319471359252944,-81.16337203979495
Lake Ontario,43.1825294494629,-79.79247283935548,44.5140571594238,-75.75758361816409,43.848293304443345,-77.7750282287598
Lake St. Claire,42.2912216186523,-82.93027496337889,43.0087203979492,-82.40283203125,42.64997100830075,-82.66655349731445
Lake Huron,43.000778198242195,-84.75252532958979,46.5426406860352,-79.68575286865229,44.7717094421387,-82.21913909912104
Lake Michigan,41.6179161071777,-88.0282745361328,46.095027923584,-84.74033355712889,43.856472015380845,-86.38430404663085
Lake Superior,46.4086685180664,-92.0800552368164,49.010749816894496,-84.3452758789063,47.70970916748045,-88.21266555786136
Hudson Strait,58.001945495605696,-80.13516998290999,64.90274810791038,-64.55239833399997,61.45234680175804,-72.34378415845498
James Bay,51.1324729919434,-82.453498840332,55.107250213623004,-78.4059753417969,53.1198616027832,-80.42973709106445
Hudson Bay,54.6347770690918,-94.97252655029297,64.22122192382812,-76.51936340332031,59.42799949645996,-85.74594497680664
Gulf of Thailand,6.16783332824707,99.1404190063477,13.608750343322798,105.11122131347702,9.888291835784933,102.12582015991237
Makassar Strait,-5.42002773284912,115.968286746401,1.12538886070251,120.255416870117,-2.147319436073305,118.111851808259
Savu Sea,-10.833119125999815,118.68369293212947,-8.258227516481782,125.19401977536029,-9.545673321240798,121.93885635374488
Bali Sea,-8.777944564819336,112.62208557128929,-6.899555683135986,117.54561258464412,-7.838750123977661,115.0838490779667
Selat Karimata,-2.8962638378143297,108.00291442871101,-1.01455557346344,110.265419006348,-1.9554097056388848,109.1341667175295
Sea of Azov,45.2387237548828,33.7045233100001,47.289554595947294,39.3056106567383,46.264139175415046,36.505066983369204
Gulf of Alaska,57.27427673339844,-155.633331298828,61.276805877685604,-136.516632080078,59.27554130554202,-146.074981689453
Norwegian Sea,60.806221008301236,-15.184249877929574,77.41477794987685,25.738695144653946,69.11049947908904,5.277222633362186
McClure Strait,73.5408020019531,-124.77608489990202,76.2133331298828,-113.665946960449,74.87706756591794,-119.22101593017551
Greenland Sea,65.15791320800815,-29.25641632080078,81.60393750767446,17.39838981628452,73.3809253578413,-5.92901325225813
Kattegat,55.297538588738746,8.189083099365178,58.349555969238395,12.949138641357479,56.82354727898857,10.569110870361328
Baltic Sea,53.60169601440441,9.420756120000078,60.641250610351676,23.09241676330572,57.12147331237804,16.2565864416529
Irish Sea,51.901638031005895,-6.507527828216549,55.00788879394529,-2.68086099624634,53.45476341247559,-4.594194412231444
Bay of Biscay,43.275417327880895,-7.69958353042603,47.91294479370119,-0.5071389079093931,45.594181060791044,-4.103361219167711
Bristol Channel,50.9879455566406,-4.7158889770507795,51.817081451416,-2.34752774238586,51.4025135040283,-3.5317083597183196
Celtic Sea,49.870482153233795,-9.812535516609168,52.263721466064496,-4.52583312988281,51.067101809649145,-7.1691843232459895
North Sea,50.98415184021013,-4.444194316864014,61.493751525879304,9.835805892944563,56.23895168304472,2.695805788040275
Skagerrak,57.102890014648395,7.59244441986084,59.91955566406249,11.7056941986084,58.51122283935544,9.64906930923462
Tyrrhenian Sea,37.900445226093005,9.21038913726807,42.9554176330566,16.2212505340576,40.4279314295748,12.715819835662835
Gulf of Bothnia,60.036255487662096,17.039083480835,65.90708160400389,25.5082778930664,62.971668545833,21.273680686950698
English Channel,48.4961929321289,-5.67577170893999,51.3651870274291,1.9099305272102298,49.930689979779004,-1.8829205908648803
Ionian Sea,37.9279174804688,17.1070556640625,40.4199981689453,23.2253894805908,39.173957824707045,20.16622257232665
Ligurian Sea,42.5562210083008,8.16794490814209,44.4271125793457,10.5470275878906,43.491666793823256,9.357486248016345
Adriatic Sea,40.1349716186523,12.1412496566772,45.79455566406249,19.6141948699951,42.96476364135739,15.87772226333615
Gulf of Riga,56.9611129760742,21.739973068237298,59.027084350585895,24.589082717895497,57.99409866333005,23.1645278930664
Bight of Benin,4.823553467000069,0.950496316469864,6.62125015258789,5.55112282100004,5.722401809793979,3.250809568734952
Red Sea,12.45248257200035,33.82596734500021,28.13963636200026,43.497833251953296,20.296059467000305,38.66190029847675
Bering Strait,65.56109724034201,-170.569244384766,66.14228216839159,-167.490447998047,65.8516897043668,-169.02984619140648
Cook Inlet,58.5587501525879,-154.264923095703,61.52219390869139,-148.969161987305,60.04047203063965,-151.61704254150402
Bristol Bay,56.504673477123795,-161.762832641602,59.1415824890137,-156.841659545898,57.823127983068744,-159.30224609375
Queen Charlotte Sound,50.77524948120119,-131.04415032764902,52.6845817565918,-127.70153528908301,51.7299156188965,-129.37284280836602
Hecate Strait,51.9466245044884,-131.981047865482,54.171096282297796,-128.90306091308602,53.0588603933931,-130.442054389284
Palk Strait,7.58583354949951,77.78289031982419,10.3654165267944,80.4624845897368,8.975625038146955,79.1226874547805
Alaska-Canada coastal waters,47.25,-137.141383678713,59.4817504882813,-122.17802429199202,53.36587524414065,-129.6597039853525
Amundsen Sea,-75.43571740049038,-114.36730863052594,-72.08036020639128,-98.38692620392067,-73.75803880344083,-106.3771174172233
